s,i,success,false,success2,false2
0,0,0,1,0,1
0,1,0,10,0,10
0,2,0,45,0,45
0,3,0,120,0,120
0,4,0,210,0,210
0,5,252,0,0,252
0,6,210,0,210,0
0,7,120,0,120,0
0,8,45,0,45,0
0,9,10,0,10,0
0,10,1,0,1,0
0.05,0,0,1,0,1
0.05,1,0,10,0,10
0.05,2,0,45,0,45
0.05,3,0,120,0,120
0.05,4,0,210,0,210
0.05,5,140,112,126,126
0.05,6,210,0,210,0
0.05,7,120,0,120,0
0.05,8,45,0,45,0
0.05,9,10,0,10,0
0.05,10,1,0,1,0
0.1,0,0,1,0,1
0.1,1,0,10,0,10
0.1,2,0,45,0,45
0.1,3,0,120,0,120
0.1,4,0,210,0,210
0.1,5,134,118,126,126
0.1,6,210,0,210,0
0.1,7,120,0,120,0
0.1,8,45,0,45,0
0.1,9,10,0,10,0
0.1,10,1,0,1,0
0.15,0,0,1,0,1
0.15,1,0,10,0,10
0.15,2,0,45,0,45
0.15,3,0,120,0,120
0.15,4,0,210,0,210
0.15,5,130,122,126,126
0.15,6,210,0,210,0
0.15,7,120,0,120,0
0.15,8,45,0,45,0
0.15,9,10,0,10,0
0.15,10,1,0,1,0
0.2,0,0,1,0,1
0.2,1,0,10,0,10
0.2,2,0,45,0,45
0.2,3,0,120,0,120
0.2,4,0,210,0,210
0.2,5,131,121,126,126
0.2,6,210,0,210,0
0.2,7,120,0,120,0
0.2,8,45,0,45,0
0.2,9,10,0,10,0
0.2,10,1,0,1,0
0.25,0,0,1,0,1
0.25,1,0,10,0,10
0.25,2,0,45,0,45
0.25,3,0,120,0,120
0.25,4,0,210,0,210
0.25,5,130,122,126,126
0.25,6,210,0,210,0
0.25,7,120,0,120,0
0.25,8,45,0,45,0
0.25,9,10,0,10,0
0.25,10,1,0,1,0
0.3,0,0,1,0,1
0.3,1,0,10,0,10
0.3,2,0,45,0,45
0.3,3,0,120,0,120
0.3,4,0,210,0,210
0.3,5,128,124,126,126
0.3,6,210,0,210,0
0.3,7,120,0,120,0
0.3,8,45,0,45,0
0.3,9,10,0,10,0
0.3,10,1,0,1,0
0.35,0,0,1,0,1
0.35,1,0,10,0,10
0.35,2,0,45,0,45
0.35,3,0,120,0,120
0.35,4,1,209,1,209
0.35,5,126,126,126,126
0.35,6,209,1,209,1
0.35,7,120,0,120,0
0.35,8,45,0,45,0
0.35,9,10,0,10,0
0.35,10,1,0,1,0
0.4,0,0,1,0,1
